,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Tarnogskiy Gorodok,88,RU,1549921271,90,60.5,43.58,25.54,16.46
1,Hithadhoo,88,MV,1549921272,100,-0.6,73.08,83.81,9.53
2,Turukhansk,80,RU,1549921274,69,65.8,87.96,-5.07,15.57
3,Bukama,88,CD,1549921275,88,-9.2,25.85,75.26,2.71
4,Sioux Lookout,75,CA,1549918800,61,50.1,-91.92,17.6,5.82
5,Kapaa,40,US,1549918560,53,22.08,-159.32,73.04,10.29
6,Puerto Ayora,75,EC,1549918800,70,-0.74,-90.35,84.2,14.99
7,Kruisfontein,92,ZA,1549921283,95,-34.0,24.73,64.42,5.39
8,Vardo,90,US,1549919700,85,39.62,-77.74,33.98,5.82
9,Te Anau,0,NZ,1549921285,82,-45.41,167.72,60.46,3.6
10,Avarua,56,CK,1549918800,70,-21.21,-159.78,84.2,11.41
11,North Bend,90,US,1549919040,93,43.41,-124.22,46.4,12.75
12,Sao Filipe,8,CV,1549921289,87,14.9,-24.5,74.41,13.0
13,Port Alfred,92,ZA,1549921290,100,-33.59,26.89,67.93,13.56
14,Richards Bay,100,ZA,1549921291,100,-28.77,32.06,71.48,6.17
15,Castro,0,CL,1549918800,46,-42.48,-73.76,68.0,9.17
16,Bay Roberts,90,CA,1549918800,66,47.58,-53.28,14.0,19.46
17,Hambantota,5,LK,1549919400,94,6.12,81.12,77.0,8.05
18,Nuuk,40,GL,1549918200,54,64.17,-51.74,28.4,4.7
19,Yaan,0,NG,1549921307,31,7.38,8.57,80.48,8.75
20,Albany,75,US,1549919820,37,42.65,-73.75,32.0,10.29
21,Shingu,0,JP,1549921322,100,33.72,135.99,46.87,17.02
22,Qaanaaq,0,GL,1549921323,81,77.48,-69.36,-9.16,8.63
23,Cape Town,0,ZA,1549918800,77,-33.93,18.42,68.0,17.22
24,Lovozero,88,RU,1549921339,83,68.01,35.02,25.45,4.72
25,Jamestown,68,AU,1549921341,92,-33.21,138.6,56.5,13.78
26,Thompson,40,CA,1549918800,54,55.74,-97.86,5.0,5.82
27,Nantucket,1,US,1549918560,46,41.28,-70.1,33.08,11.41
28,Constitucion,75,MX,1549917900,29,23.99,-104.67,68.0,20.8
29,Dikson,88,RU,1549921349,87,73.51,80.55,-6.24,17.36
30,Hermanus,88,ZA,1549921350,90,-34.42,19.24,64.19,5.39
31,Provideniya,90,RU,1549918800,86,64.42,-173.23,28.4,17.9
32,Port Elizabeth,90,US,1549919460,95,39.31,-74.98,33.98,5.82
33,Tuktoyaktuk,90,CA,1549919700,92,69.44,-133.03,24.8,19.46
34,Ocampo,80,PH,1549921354,85,13.56,123.37,76.66,12.44
35,Saurimo,24,AO,1549921355,93,-9.66,20.4,69.37,2.48
36,Busselton,12,AU,1549921356,100,-33.64,115.35,56.54,8.97
37,Hobart,75,AU,1549918800,77,-42.88,147.33,62.6,19.46
38,Conakry,8,GN,1549921359,100,9.52,-13.7,80.08,11.99
39,Hilo,1,US,1549918380,51,19.71,-155.08,75.02,20.8
40,High Level,40,CA,1549918800,63,58.52,-117.13,-5.81,5.82
41,Barrow,88,AR,1549921362,62,-38.31,-60.23,61.27,16.46
42,Vanino,88,RU,1549921363,93,53.93,40.55,23.78,13.33
43,Praia,20,BR,1549918800,58,-20.25,-43.81,82.4,9.17
44,Cockburn Town,80,TC,1549921366,99,21.46,-71.14,77.74,18.03
45,Pilar,20,AR,1549918800,46,-34.46,-58.91,73.4,18.34
46,Ribeira Grande,75,PT,1549918800,82,38.52,-28.7,59.0,4.7
47,Upernavik,8,GL,1549921370,100,72.79,-56.15,-0.75,12.1
48,Vila Velha,20,BR,1549918800,79,-3.71,-38.6,84.2,11.41
49,Khatanga,44,RU,1549921373,67,71.98,102.47,-14.74,8.08
50,Conceicao do Coite,0,BR,1549921374,38,-11.56,-39.28,88.13,14.23
51,West Wendover,1,US,1549918560,41,40.74,-114.07,35.06,14.99
52,Bluff,0,AU,1549921376,89,-23.58,149.07,74.95,8.75
53,Maniitsoq,8,GL,1549921386,64,65.42,-52.9,18.43,9.19
54,Longyearbyen,75,NO,1549918200,72,78.22,15.63,15.8,10.29
55,Monrovia,0,LR,1549921389,86,6.33,-10.8,79.04,8.63
56,Savannah Bight,80,HN,1549921390,100,16.45,-85.85,76.16,11.32
57,Vaini,8,IN,1549921391,87,15.34,74.49,66.49,2.93
58,Faya,40,SA,1549918800,87,18.39,42.45,57.2,5.82
59,North Guwahati,20,IN,1549918800,93,26.2,91.72,60.8,4.72
60,Half Moon Bay,1,US,1549918560,57,37.46,-122.43,55.4,5.82
61,Ilulissat,5,GL,1549918200,45,69.22,-51.1,24.8,3.36
62,Mogadishu,92,SO,1549921397,100,2.04,45.34,79.0,13.44
63,Hasaki,20,JP,1549918800,100,35.73,140.83,32.0,10.29
64,Cherskiy,0,RU,1549921403,0,68.75,161.3,-42.33,1.48
65,Mataura,20,NZ,1549921404,84,-46.19,168.86,65.81,3.6
66,Ushuaia,40,AR,1549918800,61,-54.81,-68.31,50.0,31.09
67,De Aar,0,ZA,1549921406,83,-30.65,24.01,62.84,7.63
68,Kodiak,90,US,1549919700,95,39.95,-94.76,32.0,9.17
69,Channel-Port aux Basques,76,CA,1549921409,100,47.57,-59.14,24.73,42.3
70,Praia da Vitoria,20,PT,1549918800,100,38.73,-27.07,57.2,11.21
71,Cabo San Lucas,20,MX,1549918440,60,22.89,-109.91,75.2,10.29
72,Porto Novo,40,BR,1549918800,73,-23.68,-45.44,77.0,8.05
73,Severo-Kurilsk,24,RU,1549921413,100,50.68,156.12,18.16,16.46
74,Rocha,92,UY,1549921414,100,-34.48,-54.34,66.31,9.98
75,Cidreira,76,BR,1549921416,87,-30.17,-50.22,81.79,4.72
76,Vanavara,36,RU,1549921420,73,60.35,102.28,-16.86,6.17
77,Carnarvon,48,ZA,1549921421,46,-30.97,22.13,66.89,11.21
78,Chokurdakh,48,RU,1549921422,81,70.62,147.9,-18.61,13.33
79,Punta Arenas,0,CL,1549918800,62,-53.16,-70.91,51.8,14.99
80,Buraydah,40,SA,1549918800,100,26.33,43.97,50.0,6.93
81,Port Blair,20,IN,1549918800,88,11.67,92.75,78.8,4.7
82,Antalaha,20,MG,1549921427,90,-14.9,50.28,77.56,7.52
83,Lorengau,56,PG,1549921431,95,-2.02,147.27,83.32,14.67
84,Rjukan,0,NO,1549921432,72,59.88,8.59,16.49,10.42
85,Saint-Philippe,1,CA,1549918800,40,45.36,-73.48,15.8,2.24
86,Rikitea,76,PF,1549921434,100,-23.12,-134.97,74.63,8.08
87,Tual,56,ID,1549921436,100,-5.67,132.75,82.64,10.09
88,Torbay,90,CA,1549918800,66,47.66,-52.73,14.0,19.46
89,Arraial do Cabo,20,BR,1549918800,58,-22.97,-42.02,86.0,16.11
90,Villefontaine,75,FR,1549918800,93,45.61,5.16,41.0,3.36
91,Komsomolskiy,92,RU,1549921440,87,67.55,63.78,22.12,14.79
92,Volga,92,US,1549919700,100,44.32,-96.93,19.4,13.87
93,Bredasdorp,88,ZA,1549918800,82,-34.53,20.04,68.0,5.82
